Question,Hint,Answer
What hardware feature commonly works with BitLocker to protect encryption keys?,Think a security chip on the motherboard.,"A TPM, or Trusted Platform Module."
What is EFS?,Think encrypting individual Windows files rather than an entire drive.,Encrypting File System provides file-level encryption on supported NTFS volumes.
What is an NTFS permission?,Think who can access a file or folder.,A permission controlling access to files and folders on an NTFS volume.
What is a share permission?,Think permissions applied through a network share.,A permission controlling access to resources through a shared network path.
"When both NTFS and share permissions apply over a network, which effective permission is generally enforced?",Think the more restrictive combination wins.,The most restrictive effective permission applies.
What does permission inheritance mean?,Think permissions flowing down from a parent folder.,Child files and folders can inherit permissions from their parent.
What is WPA3?,Think modern Wi-Fi security.,A modern Wi-Fi security protocol designed to improve wireless authentication and protection.
What encryption algorithm is commonly associated with WPA2 and WPA3?,Think the standard symmetric encryption used by modern Wi-Fi.,AES.
What is an evil twin attack?,Think a fake Wi-Fi network pretending to be legitimate.,An attacker creates a rogue wireless access point that imitates a legitimate network.
What is phishing?,Think a fraudulent message trying to trick the victim.,A social-engineering attack that attempts to obtain information or cause an unsafe action through deceptive communication.
What is spear phishing?,Phishing aimed at a specific target.,A targeted phishing attack directed at a particular person or organization.
What is whaling?,Think phishing aimed at important people.,A phishing attack targeting high-value individuals such as executives.
What is smishing?,Think SMS plus phishing.,Phishing delivered through text messages.
What is vishing?,Think voice plus phishing.,Phishing conducted through voice calls.
What is tailgating?,Think following an authorized person through a secured entrance.,An unauthorized person gains physical access by following an authorized person.
What is shoulder surfing?,Think someone watching you enter information.,Obtaining sensitive information by visually observing a victim.
What is dumpster diving?,Think trash as an information source.,Searching discarded materials for sensitive information.
What is a Trojan?,Think malware disguised as something legitimate.,Malware that appears legitimate or useful but performs malicious actions.
What is ransomware?,Think files held hostage.,Malware that encrypts or otherwise blocks access to data and demands payment.
What is spyware?,Think secretly watching or collecting information.,Malware that covertly monitors activity or collects information.
What is a keylogger?,Think recording keystrokes.,Software or hardware that records keyboard input.
What is a rootkit?,Think malware trying to hide deeply in the system.,Malware designed to maintain privileged access and conceal its presence.
What is a worm?,Think malware that spreads on its own.,Malware capable of self-propagating across systems or networks.
What is a virus?,Think malicious code attached to another executable or file.,Malware that generally requires a host file or user action to propagate.
What is a botnet?,Think many compromised systems controlled together.,A collection of compromised devices controlled by an attacker.
What is a logic bomb?,Think malicious code triggered by a condition.,Malware or malicious code that executes when a specified condition or event occurs.
What is a backdoor?,Think bypassing normal authentication.,A hidden or unauthorized method of gaining access to a system.
What is a zero-day vulnerability?,The vendor has little or no time to fix it.,A vulnerability unknown to the vendor or for which no effective patch is yet available.
What is social engineering?,The target is the person rather than the technology.,Manipulating people into revealing information or performing actions that compromise security.
What is a brute-force attack?,Think trying many passwords automatically.,An attack that systematically tries many possible credentials.
What is password spraying?,Think one common password against many accounts.,Trying a small number of likely passwords across many accounts to avoid account lockouts.
What is credential stuffing?,Think reusing stolen passwords.,Using previously stolen username/password combinations against other services.
What is a strong password characteristic?,Think length and unpredictability.,"It should be long, unique, and difficult to guess."
What is account lockout designed to prevent?,Think repeated password guessing.,It limits authentication attempts after repeated failures.
What is a security patch?,Think fixing a known software weakness.,"A software update that addresses vulnerabilities, bugs, or security defects."
What is endpoint protection?,Think protecting individual computers and devices.,"Security controls such as anti-malware, firewall, and endpoint detection used to protect endpoint devices."
What does real-time antivirus protection do?,Think protection while files and processes are being accessed.,It continuously monitors activity and files for known or suspicious threats.
What is application allowlisting?,Think only approved applications can run.,A security control that permits execution only for explicitly approved applications.
What is application blocklisting?,Think known bad applications are denied.,A security control that prevents specified applications from running.
What is screen locking an example of?,Think preventing someone nearby from using an unattended computer.,A workstation security control.
What is a secure boot process intended to protect against?,Think unauthorized software loading before the OS.,It helps ensure trusted boot components are loaded during startup.
What is mobile device encryption used for?,Think a lost phone containing data.,It protects stored data from unauthorized access if the device is lost or stolen.
What is a device PIN used for?,Think local device authentication.,It helps authenticate the user to the mobile device.
What is remote wipe?,Think a lost phone that you cannot physically retrieve.,A management feature that remotely erases data from a lost or stolen device.
What is mobile device management?,Think centrally controlling company phones and tablets.,"MDM allows an organization to manage, configure, secure, and enforce policies on mobile devices."
What is a mobile screen lock timeout?,Think automatically locking after inactivity.,A security setting that locks the device after a period of inactivity.
What is sideloading?,Think installing an app outside the normal official app store.,Installing an application from a source other than the standard approved app marketplace.
Why can sideloading be a security concern?,The app may not have gone through the normal store review process.,It can expose the device to malicious or untrusted applications.
What is a VPN on a mobile device used for?,Think protecting traffic when using an untrusted network.,It creates an encrypted connection to a VPN service or network.
What is SIM swapping?,Think an attacker transferring your cellular number to another SIM.,An attack where an attacker convinces a carrier to transfer a victim's phone number to a SIM they control.
What is a mobile device backup used for?,Think replacing a lost or damaged phone.,It preserves data and settings so they can be restored to a device.
What is the first step when investigating suspected malware?,Don't start deleting random files.,Investigate and verify the symptoms before taking remediation actions.
What should you do with an infected computer before malware removal?,Think stop it from spreading or communicating.,Quarantine or isolate the infected system.
Why should System Restore be disabled during malware remediation when required by the procedure?,Malware may hide in restore points.,To prevent malware from being restored from infected restore points.
What should be updated before performing a malware scan?,Think the security software's knowledge of threats.,Update the anti-malware software and its definitions.
What is Safe Mode useful for during malware removal?,Think fewer drivers and services running.,It can allow troubleshooting and malware removal while limiting the software that starts normally.
What is a preinstallation environment useful for malware removal?,Think scanning a Windows installation without booting the infected OS normally.,A bootable environment can scan or repair a system while the infected operating system is not fully running.
When should System Restore be re-enabled after malware removal?,Only after the system is clean.,After remediation is complete and the system has been verified clean.
What should be done after malware remediation to reduce reinfection risk?,Think the person using the computer is part of the security system.,"Update the system, schedule scans as appropriate, and educate the user about the cause and prevention."
What Windows symptom can indicate corrupted system files?,Think Windows behaving incorrectly even though hardware appears fine.,"Repeated system errors, crashes, missing functionality, or unexpected Windows behavior can indicate corrupted system files."
What does a BSOD indicate?,Think Windows encountered a serious system-level failure.,A Blue Screen of Death indicates a critical Windows error that halted normal operation.
What is a common cause of repeated BSODs?,Think drivers and hardware.,"Faulty or incompatible drivers, hardware failures, or corrupted system components."
What Windows tool is useful for identifying the cause of a recent crash?,Think logs.,Event Viewer.
What is a boot loop?,The computer keeps restarting instead of reaching the desktop.,A condition where the system repeatedly attempts to start but never completes the boot process.
What is a missing boot device error?,Think the firmware cannot find something bootable.,The system cannot locate a valid boot device or operating system.
What can cause a Windows application to crash immediately after starting?,"Think damaged software, dependencies, or compatibility.","Corrupted application files, incompatible software, missing dependencies, or damaged user settings."
What is application freezing?,The program stops responding to input.,The application becomes unresponsive and does not process normal user interaction.
What is a runaway process?,Think a process consuming resources without stopping.,"A process that uses excessive CPU, memory, or other resources and fails to terminate normally."
What Windows tool is useful for identifying a process consuming excessive CPU?,Think the graphical process list.,Task Manager.
What is a memory leak?,The application keeps taking memory and doesn't release it properly.,"A software defect where allocated memory is not properly released, causing memory usage to grow."
What can cause a mobile app to crash repeatedly?,"Think bad app data, compatibility, or updates.","Corrupted app data, bugs, insufficient resources, incompatible versions, or an outdated app or OS."
What should you try if a mobile app repeatedly crashes after an update?,Think remove corrupted local app state before blaming the phone.,"Force stop the app, clear its cache/data when appropriate, update it, or reinstall it."
What is a common cause of a mobile device running out of storage?,"Think photos, videos, downloads, and app data.","Large user files, cached data, downloads, and applications."
What can cause rapid mobile battery drain after installing an application?,Think something running constantly in the background.,"A poorly behaved application may use excessive CPU, network access, location services, or background activity."
What can cause a mobile device to overheat during normal use?,Think heavy workload or a malfunctioning process.,"Excessive CPU activity, demanding applications, poor ventilation, environmental heat, or battery problems."
What should you check if a mobile device cannot install an application?,Think compatibility and storage first.,"Check available storage, OS version, application compatibility, permissions, and app-store/account issues."
What does an application permission control on a mobile device?,Think access to sensitive device resources.,"It controls whether an app can access resources such as location, camera, microphone, contacts, or storage."
What is excessive permission access a security concern?,An app shouldn't need everything.,An app requesting unnecessary sensitive permissions can increase privacy and security risk.
What is a rogue application?,Think software installed without proper trust or authorization.,An unauthorized or potentially malicious application installed on a device.
What is a browser hijacker?,Think the browser suddenly goes somewhere you didn't choose.,Malware or unwanted software that changes browser settings or redirects browsing.
What is adware?,Think unwanted advertising generated by software.,"Software that displays unwanted advertisements, often aggressively or persistently."
What is a pop-up flood a possible sign of?,Think unwanted software in the browser or system.,"Adware, potentially unwanted software, or malware."
What should be checked if a user suddenly has unauthorized browser extensions?,Think software changed browser behavior.,Remove unapproved extensions and investigate for unwanted or malicious software.
What is a restore point useful for after a bad software change?,Think reverting system configuration.,It can return supported Windows system settings and files to an earlier state.
What is a ticket in an IT support system?,Think the formal record of a support issue.,"A documented record of a user's problem, troubleshooting, actions, and resolution."
What information should be recorded in a support ticket?,Think someone else needs to understand what happened.,"The issue, affected system or user, symptoms, troubleshooting performed, findings, resolution, and relevant timestamps."
What is an asset inventory?,Think knowing what equipment the organization owns.,"A record of hardware, software, devices, and other technology assets."
What is an asset tag used for?,Think identifying equipment physically.,A unique identifier attached to equipment for inventory and tracking.
What is a knowledge base?,Think reusable solutions for recurring problems.,"A repository of documented technical information, procedures, and solutions."
What is change management?,Think controlling modifications to production systems.,"A formal process for planning, approving, implementing, documenting, and reviewing changes."
What is a rollback plan?,Think what you do if the change breaks something.,A documented method for returning a system to its previous working state.
What is a change window?,Think when changes are allowed.,A scheduled period during which approved changes can be performed.
What is a standard change?,Think predictable and already approved.,"A low-risk, repeatable change that follows an established procedure."
What is an emergency change?,Think waiting could cause serious damage.,A change that must be implemented quickly to address an urgent issue.
What is a baseline in change management?,Think the known-good state before a change.,A documented reference configuration or performance state used for comparison.
What is a backup?,Think a separate copy of data.,A copy of data kept so it can be restored after loss or corruption.
What is the 3-2-1 backup rule?,"Three copies, two types of media, one somewhere else.","Keep at least three copies of data, on two different media types, with at least one copy off-site."
What is a full backup?,Think everything selected gets copied.,A backup that copies all selected data.
What is an incremental backup?,Think only changes since the last backup of any type.,A backup that contains data changed since the most recent backup.
What is a differential backup?,Think changes since the last full backup.,A backup containing data changed since the most recent full backup.
Which backup type generally requires the fewest backups to restore a full dataset?,Think one full plus one more backup.,A full backup followed by the latest differential backup.
Which backup type usually requires the latest full backup plus every subsequent incremental backup?,Think incremental means a chain.,A full backup plus all required incremental backups since that full backup.
What is an image backup?,Think a snapshot of an entire system or volume.,A backup that captures a complete system or disk image that can be restored as a whole.
What is a recovery point objective?,Think acceptable amount of data loss measured in time.,RPO is the maximum acceptable amount of data loss measured as time.
What is a recovery time objective?,Think how long the system can be unavailable.,RTO is the target maximum amount of time allowed to restore a service.
What is the purpose of testing backups?,A backup you cannot restore is a problem.,To verify that backup data is usable and can actually be restored.
What is electrostatic discharge?,Think a tiny static spark damaging electronics.,A sudden transfer of static electrical charge that can damage electronic components.
What should you use to reduce ESD risk when working inside a computer?,Think grounding yourself to the equipment.,An antistatic wrist strap or other approved ESD-control method.
Why should a technician disconnect power before opening equipment?,Think electrical hazards and accidental operation.,To reduce electrical shock and equipment-damage risks.
What is a safety data sheet?,Think information about hazardous substances.,"An SDS provides information about hazards, handling, storage, and emergency procedures for a substance."
What does a fire extinguisher's class indicate?,Think different fires require different extinguishing agents.,The class identifies the type of fire the extinguisher is designed to address.
What is a Class C fire associated with?,Think electrical equipment.,Fires involving energized electrical equipment.
What environmental condition can shorten electronic component life?,Think heat.,Excessive temperature.
Why is humidity control important in a computer room?,Think moisture versus static electricity.,"Excessive humidity can cause moisture-related problems, while very low humidity can increase static electricity."
What is a UPS?,Think backup power plus protection.,An Uninterruptible Power Supply provides temporary battery power and can help protect equipment from power disturbances.
What is a surge protector?,Think voltage spikes rather than battery backup.,A device designed to protect connected equipment from transient voltage surges.
What is ergonomics?,Think designing the workspace around the human.,Designing equipment and workspaces to reduce physical strain and injury.
What is data privacy?,Think controlling how personal information is handled.,"Protecting personal or sensitive information from unauthorized collection, access, use, or disclosure."
What is PII?,Think information that can identify a person.,Personally Identifiable Information.
What is an acceptable use policy?,Think what users are allowed to do with company technology.,A policy defining permitted and prohibited use of organizational systems and resources.
What is an NDA?,Think keeping confidential information confidential.,A Non-Disclosure Agreement legally restricts the disclosure of specified confidential information.
What is software licensing?,Think legal permission to use software.,"The legal terms and permissions governing how software may be installed, copied, used, or distributed."
What is open-source software?,Think source code is available under its license.,Software whose source code is made available under an open-source license that defines permitted use and modification.
What is proprietary software?,Think controlled by its owner.,Software owned and controlled by an organization or individual under its licensing terms.
What is copyright?,Think legal protection for creative works and software.,A legal right protecting original works from unauthorized copying or distribution.
What is incident response?,Think handling a security incident in a controlled way.,"A structured process for identifying, containing, responding to, and recovering from security incidents."
What should a technician do if they discover a suspected security incident outside their authority?,Don't freelance a major security investigation.,Follow the organization's incident-response and escalation procedures.
What is chain of custody?,Think proving who handled evidence and when.,"A documented record of evidence handling, transfers, and custody."
What is the principle of need to know?,Think access only when required for the job.,Sensitive information should be accessible only to people who require it to perform authorized duties.
What should you do with confidential customer information found during a repair?,Treat it as protected information.,Protect it from unauthorized disclosure and follow company privacy and handling procedures.
What is professional communication in technical support supposed to avoid?,Think arguing with or blaming the customer.,"Blame, unnecessary jargon, hostility, interruptions, and dismissive behavior."
What should a technician do when a customer describes a vague problem?,Don't guess; narrow it down.,Ask clarifying questions and restate the issue to verify understanding.
What is active listening?,Think listening before preparing your response.,"Giving the customer attention, avoiding interruptions, and confirming understanding."
What is a service-level agreement?,Think an agreed level of service.,"An SLA defines expected service performance, response, or resolution commitments."
What is escalation?,Think handing an issue to someone with the authority or expertise to handle it.,Moving an issue to a higher support level or appropriate team.
What is a script?,Think a set of commands executed automatically.,A sequence of commands or instructions used to automate tasks.
What file extension is commonly used for Windows batch scripts?,Think command prompt automation.,.bat
What file extension is commonly used for PowerShell scripts?,Think Microsoft's scripting shell.,.ps1
What file extension is commonly used for Windows VBScript files?,Think Visual Basic scripting.,.vbs
What file extension is commonly used for shell scripts on Linux and Unix-like systems?,Think Bash.,.sh
What file extension is commonly used for Python scripts?,Think Python.,.py
What file extension is commonly associated with JavaScript?,Think web scripting.,.js
What is a common IT use of scripting?,Think repetitive work done automatically.,"Automating repetitive tasks such as software installation, configuration, backups, updates, and information gathering."
What is a risk of running an untested script?,Automation can make mistakes very quickly.,"It can unintentionally modify settings, delete data, introduce malware, or disrupt systems."
What is RDP used for?,Think graphical remote access to Windows.,Remote Desktop Protocol provides remote graphical access to Windows systems.
What is SSH used for?,Think secure command-line administration.,Secure Shell provides encrypted remote command-line access.
What is a VPN used for in remote access?,Think creating a protected connection to a private network.,A Virtual Private Network creates an encrypted tunnel between the remote user and a private network or VPN service.
What is VNC used for?,Think remote graphical control across platforms.,Virtual Network Computing provides remote access to a graphical desktop.
What is RMM?,Think an IT department managing many computers remotely.,"Remote Monitoring and Management software allows technicians to monitor, manage, and maintain remote systems."
What is WinRM used for?,Think remote Windows management and commands.,Windows Remote Management allows remote management and command execution on Windows systems.
What is SPICE used for?,Think virtual machines.,SPICE provides remote display and interaction with virtual machines.
What is screen-sharing software used for?,Think seeing and potentially controlling another user's screen.,It allows a technician or participant to view or control a remote display.
What is remote file-transfer software used for?,Think moving files between systems.,It transfers files between remote systems or users.
What is a major security concern with remote access tools?,Remote access is powerful if compromised.,Unauthorized access can give an attacker direct control over systems or data.
Why should remote access accounts use MFA when supported?,A stolen password alone shouldn't be enough.,"MFA adds another authentication factor, reducing the impact of stolen credentials."
Why should remote access tools be restricted to authorized users?,Remote access is effectively a doorway into systems.,Limiting access reduces the attack surface and unauthorized control.
What is AI hallucination?,The AI gives an answer that sounds convincing but is wrong.,A generated output that contains fabricated or inaccurate information presented as if it were factual.
What is AI bias?,Think the system producing systematically skewed results.,"AI bias occurs when outputs are systematically influenced by biased data, design, or assumptions."
Why should an IT technician verify AI-generated technical information?,AI can confidently be wrong.,"AI output may contain inaccurate, incomplete, outdated, or fabricated information."
What is a privacy risk of entering confidential company information into a public AI service?,Think about where the submitted data goes.,Sensitive information may be exposed to an external service or processed under policies the organization does not control.
What is the difference between public and private AI services?,Think who controls the environment and data.,"Public AI services are generally externally hosted and shared, while private AI environments provide greater organizational control over access and data handling."
What is appropriate use of AI in IT support?,"Use it as a tool, not an unquestioned authority.","Use AI for appropriate tasks such as drafting, summarizing, brainstorming, or assistance while following organizational policy and verifying results."
Why is plagiarism a concern when using AI?,Generated content is not automatically yours to submit.,"Using AI-generated work without following applicable attribution, academic, or organizational rules can constitute plagiarism."
What is AI application integration?,Think AI built directly into another application.,"Integrating AI capabilities into software or services to automate tasks, analyze information, or assist users."
What is the biggest operational risk of an inaccurate AI-generated script?,Imagine running bad commands on hundreds of machines.,It can automate incorrect or destructive changes at scale.
What is the safest approach before deploying an AI-generated script?,Don't run unknown code blindly.,"Review, test, validate, and approve the script according to organizational procedures before deployment."
What is a system restore point NOT designed to replace?,Think it isn't a real backup.,A full data backup.
What is the difference between restoring a system and restoring a file from backup?,One targets system state; the other targets preserved data.,"System restoration can revert supported system configuration, while backup restoration retrieves previously backed-up data."
What Windows command can verify DNS resolution for a hostname?,Think DNS query tool.,nslookup
What Windows command can show active TCP connections and listening ports?,Think network statistics.,netstat
What Windows command can show the route packets take to a destination?,Think traceroute on Windows.,tracert
What Windows command can test whether another host responds over IP?,Think ICMP echo.,ping
What Windows command can repair protected system files after corruption is detected?,Think System File Checker.,sfc
What Windows command-line tool can repair the Windows component store?,Think Deployment Image Servicing and Management.,DISM
What Windows command can terminate a process by process ID?,Think killing a process from the CLI.,taskkill
What Windows command lists currently running processes?,Think command-line Task Manager.,tasklist
What Windows command refreshes Group Policy?,Think policy update.,gpupdate
What Windows command displays resulting Group Policy settings?,Think policy results.,gpresult
What Linux command changes file permissions?,Think chmod.,chmod
What Linux command changes file ownership?,Think chown.,chown
What Linux command searches text for a pattern?,Think grep.,grep
What Linux command shows the current directory?,Think present working directory.,pwd
What Linux command lists directory contents?,Think ls.,ls
What Linux command changes directories?,Think cd.,cd
What Linux command displays a file's contents?,Think cat.,cat
What Linux command provides documentation for another command?,Think manual pages.,man
What Linux command executes a command with elevated privileges?,Think superuser temporarily.,sudo
What is the difference between authentication and authorization?,One proves who you are; the other determines what you're allowed to do.,Authentication verifies identity; authorization determines permissions.
