Question,Hint,Answer
What is a trunk port on a switch?,An access port usually carries one VLAN; think about what is needed between switches.,"A trunk carries traffic for multiple VLANs, typically using VLAN tagging."
What is an access port?,Think of the switch port where an ordinary workstation plugs in.,An access port normally carries traffic for a single VLAN.
What does a router do?,A switch handles local network forwarding; what handles communication between different networks?,A router forwards packets between different IP networks.
What does a switch do?,Think Layer 2 and MAC addresses.,A switch forwards Ethernet frames based primarily on MAC addresses.
What does an access point do?,It bridges wireless clients to a wired network.,A wireless access point provides Wi-Fi connectivity and bridges wireless traffic to the network.
What is SSID?,It's the Wi-Fi network name you see when your phone scans for wireless networks.,SSID stands for Service Set Identifier and identifies a wireless network.
What is WPA2?,Think Wi-Fi security using AES-based encryption.,WPA2 is a Wi-Fi security standard commonly using AES/CCMP.
What is WPA3?,It's the newer generation of Wi-Fi security compared with WPA2.,"WPA3 provides stronger authentication/security mechanisms, including SAE for personal networks."
What is 2.4 GHz Wi-Fi's major advantage?,Think range and ability to pass through obstacles.,2.4 GHz generally provides better range and wall penetration but has fewer non-overlapping channels and more interference.
What is 5 GHz Wi-Fi's major advantage?,Think higher throughput and more available channels.,5 GHz generally offers more channels and higher performance but typically has shorter range than 2.4 GHz.
What is 6 GHz Wi-Fi used for?,Think newer Wi-Fi generations and a cleaner band.,"The 6 GHz band provides additional spectrum for supported Wi-Fi devices, with less legacy-device congestion."
What is a Wi-Fi analyzer used for?,Your Wi-Fi is slow; you want to see channel usage and interference.,"A Wi-Fi analyzer examines wireless signals, channels, signal strength, and interference."
What tool tests whether an Ethernet cable is wired correctly?,Don't grab a multimeter first; think purpose-built network cabling equipment.,A cable tester checks continuity and wiring/pinout.
What tool puts an RJ45 connector onto an Ethernet cable?,You have a stripped Ethernet cable and a loose modular connector.,A crimping tool attaches/crimps the modular connector onto the cable.
What tool is used to terminate Ethernet cable into a patch panel or keystone jack?,RJ45 plugs are crimped; permanent structured cabling uses a different termination method.,A punchdown tool.
What does a loopback plug test?,It sends a device's own signal back to itself.,A loopback plug tests a port/interface by looping transmitted signals back to the receiving side.
What does a multimeter measure?,Think electrical troubleshooting rather than packet analysis.,"A multimeter can measure values such as voltage, resistance, and continuity."
You plug in an Ethernet cable and the link light never comes on. What should you check first?,Don't immediately blame the switch. Start with the physical layer.,"Check the cable, connectors, NIC, switch port, link lights, and whether the correct cable is being used."
A user can access websites by IP address but not by hostname. What should you investigate?,"If routing works but names don't, which service translates names?",Investigate DNS configuration or DNS server availability.
A computer can communicate with devices on its LAN but cannot reach the Internet. What configuration should you check?,"Local communication works, so think about what handles traffic outside the subnet.",Check the default gateway and routing configuration.
A PC receives a 169.254.x.x address. What is a likely cause?,The machine is telling you it couldn't obtain its expected IPv4 configuration.,DHCP failure or lack of access to the DHCP server.
What command can you use on Windows to view IP configuration?,Think of the Windows command that literally combines IP and configuration.,ipconfig.
What Windows command can display detailed IP configuration including DNS and DHCP information?,Add a switch to the basic IP configuration command.,ipconfig /all.
What command releases a DHCP lease on Windows?,You want the client to give up its current DHCP address.,ipconfig /release.
What command requests a new DHCP lease on Windows?,Use it after releasing the old lease or when troubleshooting DHCP.,ipconfig /renew.
What command tests basic reachability using ICMP?,Think of sending an echo request to see whether something responds.,ping.
"What does ping prove, and what does it not prove?","A successful ping is useful, but websites can still fail.",Ping demonstrates ICMP reachability when ICMP is permitted; it does not prove that a specific application or TCP port works.
What command traces the route packets take on Windows?,Think of seeing the hops between your computer and a destination.,tracert.
What command traces routes on Linux?,"Linux has a command corresponding closely to Windows tracert, although traceroute is also common.",traceroute.
What command resolves a hostname to an IP address from the command line?,Think DNS lookup.,nslookup.
What is netstat useful for?,"You suspect malware, a listening service, or an unexpected connection. Think local connection table.","netstat can display active connections, listening ports, routing information, and interface statistics depending on options."
What does netstat -ano help you investigate on Windows?,The useful part here is connecting network connections to processes.,"It can show active/listening connections, numeric addresses/ports, and the process ID associated with each connection."
You see TCP port 3389 listening on a workstation. What service should immediately come to mind?,Think Microsoft's remote desktop service.,RDP.
"A user reports that an application cannot connect to a server. Ping works, but the application still fails. What should you test next?",ICMP reachability doesn't prove the application's port is reachable.,Test the specific TCP/UDP port and verify firewall/service configuration.
What does a firewall do?,Think traffic control rather than antivirus.,A firewall permits or blocks network traffic according to configured rules.
What is a VPN?,Imagine securely connecting to the company network while sitting in a coffee shop.,A VPN creates an encrypted tunnel or secure connection over an untrusted network.
What is split tunneling?,Only some traffic goes through the corporate VPN while other traffic uses the local Internet connection.,Split tunneling routes selected traffic through the VPN while other traffic uses the normal local connection.
What is a SOHO network?,Think of the network in a typical home or small business.,SOHO means Small Office/Home Office and generally involves a small number of users/devices.
What is a modem's job?,A modem connects your local network equipment to a service provider's access technology.,A modem converts/signals data for the particular ISP access technology.
What is a router's job in a typical SOHO setup?,The box from the ISP often performs several roles; focus on routing here.,"The router connects different networks and commonly provides NAT, DHCP, and firewall functionality."
What is a mesh Wi-Fi system?,Think multiple coordinated wireless nodes instead of one central access point.,A mesh system uses multiple nodes to provide broader wireless coverage and coordinated roaming.
A laptop gets excellent Wi-Fi signal but very slow Internet speeds. What should you investigate?,Strong signal doesn't automatically mean a healthy network path.,"Check interference, channel congestion, negotiated speed, ISP performance, other clients, and Internet-side issues."
What is an Ethernet straight-through cable normally used for?,Think unlike devices such as a PC and switch.,"A straight-through Ethernet cable is traditionally used to connect unlike device types, such as a PC to a switch."
What is crossover Ethernet traditionally used for?,Think similar devices communicating directly.,"A crossover cable was traditionally used for like-device connections such as switch-to-switch or PC-to-PC, although auto-MDI/MDIX has made this largely unnecessary."
What is fiber-optic cable's major advantage?,Think electromagnetic interference.,Fiber uses light and is highly resistant to electromagnetic interference while supporting high bandwidth and distance.
What is single-mode fiber generally used for?,Think long distances.,"Single-mode fiber is designed for long-distance, high-bandwidth communication."
What is multimode fiber generally used for?,Think shorter runs inside buildings or campuses.,Multimode fiber is commonly used for shorter-distance high-bandwidth links.
What is an RJ45 connector normally associated with?,Think twisted-pair Ethernet.,RJ45-style modular connectors are commonly used with Ethernet twisted-pair cabling.
What is HDMI used for?,Think digital video and audio.,HDMI carries digital audio and video.
What is DisplayPort commonly used for?,Think modern computer displays.,DisplayPort carries digital video and audio and is common on computers and monitors.
What is USB-C?,Don't confuse the physical connector shape with the protocol itself.,USB-C is a reversible connector form factor that can carry different protocols and power capabilities depending on implementation.
What is USB Power Delivery?,Think charging a laptop through USB-C.,USB Power Delivery allows compatible USB-C devices and chargers to negotiate higher power levels.
What is Thunderbolt?,Think a high-speed interface that can carry multiple types of traffic through a compact connector.,"Thunderbolt is a high-speed interface technology capable of carrying data, display, and other traffic depending on version and implementation."
What is an M.2 slot?,"It's common in modern PCs and laptops, but the slot doesn't automatically tell you the storage protocol.",M.2 is a compact form factor/interface used for devices such as SSDs and Wi-Fi adapters.
What is NVMe?,Think modern SSD communication over PCIe rather than the older SATA protocol.,"NVMe is a storage protocol designed for nonvolatile memory devices, commonly using PCIe."
What is SATA?,Think a common storage interface for hard drives and SSDs.,SATA is a serial storage interface commonly used for drives.
What is RAM used for?,The CPU needs fast temporary workspace while programs are running.,RAM provides temporary volatile storage for active programs and data.
What happens to normal RAM contents when power is removed?,Think volatile versus permanent storage.,"Normal RAM is volatile, so its contents are lost when power is removed."
What is the difference between RAM and storage?,One is working memory; the other retains data when powered off.,RAM is temporary working memory; storage such as SSDs and HDDs retains data.
What is DDR?,"You'll see DDR3, DDR4, and DDR5 on memory modules.",DDR is a family of synchronous DRAM technologies that transfer data on both clock edges.
Why must RAM be compatible with the motherboard?,You can't just install any random memory module and expect it to work.,"The motherboard must support the memory type, physical form factor, capacity, speed range, and other requirements."
What is dual-channel memory?,Two compatible memory channels can increase memory bandwidth.,"Dual-channel operation allows the memory controller to access two channels in parallel, increasing bandwidth."
What does CPU clock speed measure?,"It's expressed in GHz, but higher clock speed alone doesn't tell you overall CPU performance.","Clock speed indicates cycles per second; overall performance also depends on architecture, cores, cache, workload, and other factors."
What are CPU cores?,Think multiple processing units inside one CPU package.,Cores are individual processing units capable of executing instruction streams.
What is CPU cache?,"RAM is fast, but the CPU needs something even closer and faster.",Cache is high-speed memory located on or near the CPU that stores frequently accessed data/instructions.
What is thermal throttling?,The processor gets too hot and protects itself by slowing down.,Thermal throttling reduces CPU performance/frequency to control temperature.
What is a heatsink?,It doesn't create cold; it moves heat away from a component.,A heatsink absorbs and dissipates heat from components such as CPUs.
What is thermal paste used for?,Even a polished CPU and heatsink have microscopic gaps.,Thermal paste fills microscopic imperfections between surfaces and improves heat transfer.
What is a PSU?,It takes wall power and provides the electrical power the PC components require.,A power supply unit converts AC input into regulated DC outputs used by computer components.
What does PSU wattage represent?,Think total available power rather than voltage.,Wattage indicates the power the PSU can supply under specified conditions.
What is 80 PLUS?,"You may see Bronze, Gold, Platinum, etc. on power supplies.",80 PLUS is an efficiency certification program with different efficiency levels.
What is the motherboard?,Think of it as the main circuit board connecting the computer's components.,"The motherboard provides connections, communication pathways, firmware interfaces, and power delivery for components."
What is UEFI?,Think modern firmware that replaced traditional BIOS implementations.,UEFI is modern system firmware that initializes hardware and provides boot and configuration functions.
What is Secure Boot?,It helps prevent unauthorized boot software from loading.,Secure Boot uses cryptographic verification to help ensure trusted boot components are loaded.
What is POST?,It happens very early when the computer starts.,POST is the Power-On Self-Test used by firmware to initialize and check hardware.
A PC powers on but gives repeated beep codes and no display. What should you investigate?,The system is failing before normal operating-system startup.,"Check POST/beep-code documentation, RAM, GPU, CPU, power connections, and other hardware involved in startup."
What is a GPU?,Think graphics rendering rather than general system memory.,A graphics processing unit handles graphics and parallel workloads.
What is integrated graphics?,The graphics processor shares system resources rather than requiring a separate graphics card.,Integrated graphics are built into or associated with the CPU/chipset and typically use system RAM.
What is a dedicated GPU?,Think a separate graphics card with its own graphics memory.,"A dedicated GPU is a separate graphics processor, usually with dedicated VRAM."
What is VRAM?,Graphics processors need their own fast memory for textures and frame data.,VRAM is memory dedicated to graphics processing.
What is an HDD?,Think magnetic platters and mechanical movement.,A hard disk drive stores data magnetically on spinning platters.
What is an SSD?,Think no spinning platters and much faster random access than traditional HDDs.,A solid-state drive stores data in flash memory and has no moving mechanical parts.
Why is an SSD generally more resistant to physical shock than an HDD?,One has moving parts; the other doesn't.,"SSDs have no spinning platters or read/write heads, reducing mechanical vulnerability."
What is RAID 0?,Think performance without redundancy.,RAID 0 stripes data across drives and improves performance/capacity but provides no fault tolerance.
What is RAID 1?,Think mirror.,"RAID 1 mirrors data across drives and provides redundancy, typically at the cost of usable capacity."
What is RAID 5?,Think striping plus parity.,RAID 5 stripes data and parity across at least three drives and can tolerate one drive failure.
What is RAID 10?,Combine the concepts of RAID 1 and RAID 0.,"RAID 10 combines mirroring and striping, providing performance and redundancy."
What is a printer's duty cycle?,It tells you something about how heavily the printer is designed to be used.,Duty cycle is the maximum recommended monthly print volume under specified conditions.
What is a laser printer's toner?,Think powder rather than liquid ink.,Toner is a fine powder used by laser printers to form images on paper.
What does an inkjet printer use?,Think liquid droplets sprayed onto paper.,Inkjet printers use liquid ink cartridges or tanks.
What is a printer drum?,"In a laser printer, something must hold the electrostatic image before toner transfers to the paper.",The photoconductive drum is charged and imaged so toner can be attracted to the appropriate areas.
What is a laser printer's fuser?,"The toner is on the page, but it still needs to be permanently bonded.",The fuser uses heat and pressure to bond toner to the paper.
A laser printer has toner smearing off the page. What component should you suspect?,Think about the part that permanently bonds toner.,The fuser may be malfunctioning or operating incorrectly.
A laser printer prints faint pages. What should you check?,Think toner supply and the imaging process.,"Check toner level, toner cartridge condition, drum, print-density settings, and other imaging components."
A printer repeatedly jams paper. What should you inspect?,Don't just keep pressing Print; look at the physical paper path.,"Check paper type/size, tray guides, rollers, obstructions, moisture, and worn feed components."
What is duplex printing?,Think printing on both sides.,Duplex printing prints on both sides of a sheet.
What is a printer spooler?,Jobs don't necessarily go straight from the application to the printer.,The print spooler queues and manages print jobs for the operating system.
A Windows printer is installed but jobs remain stuck in the queue. What service should you investigate?,Think Windows' service responsible for managing print jobs.,The Print Spooler service.
What is PCL?,Think a printer language commonly associated with HP and many other printers.,PCL is a page-description/printer-control language used by many printers.
What is PostScript?,Think a page-description language widely used in professional printing and publishing.,"PostScript is a page-description language used to describe text, graphics, and page layout."
What is a print server?,"Instead of every workstation managing a printer independently, think centralized management.",A print server manages printer queues and makes printers available to network clients.
What is an impact printer?,Think physical pins striking an ink ribbon.,An impact printer physically strikes an inked ribbon against paper; dot-matrix is a common example.
Why might a business use a thermal printer?,"Think receipts, labels, and specialized point-of-sale environments.","Thermal printers are commonly used for receipts, labels, and other specialized printing."
What is NFC?,"Think very short-range wireless communication, such as tap-to-pay.",NFC enables short-range communication between compatible devices.
What is Bluetooth primarily designed for?,"Think personal-area connections such as headphones, keyboards, mice, and phones.",Bluetooth provides short-range wireless communication between compatible devices.
What is Bluetooth pairing?,Two devices need to establish trust before exchanging data.,Pairing establishes a relationship between Bluetooth devices so they can communicate.
What is a docking station?,"A laptop can connect to one device and suddenly have monitors, Ethernet, USB devices, and power.","A docking station expands a laptop's connectivity and can provide power, displays, networking, and peripheral connections."
"A laptop's built-in Wi-Fi works, but Wi-Fi through its docking station does not. What should you investigate?",Separate the laptop's Wi-Fi radio from the dock's networking hardware.,"Check the dock's Ethernet/Wi-Fi capability, drivers, firmware, cable connections, and network adapter configuration."
Why can replacing a laptop battery require special care?,"Think about physical access, connectors, swelling, and manufacturer procedures.","Laptop batteries may be internal, use proprietary connectors, and can be hazardous if swollen or damaged."
What should you do with a visibly swollen lithium-ion battery?,"A swollen battery is a physical safety issue, not just a battery-life problem.",Stop using the device and follow appropriate manufacturer/safety procedures for isolation and disposal; do not puncture or crush the battery.
What does cellular data allow a smartphone to do?,Think Internet access without Wi-Fi.,Cellular data uses a mobile carrier's network to provide data connectivity.
What is tethering?,Your phone can provide another device with Internet access.,Tethering shares a mobile device's cellular Internet connection with another device.
What is mobile hotspot functionality?,It's one common way to tether multiple devices wirelessly.,"A mobile hotspot allows other devices to connect through the phone's cellular connection, typically over Wi-Fi."
What is device synchronization?,"Think keeping contacts, calendars, files, or email consistent across devices.",Synchronization keeps selected data consistent between a device and another system/service.
A phone connects to Wi-Fi but says 'No Internet.' What should you check?,Separate Wi-Fi association from actual Internet access.,"Check IP configuration, gateway, DNS, captive portal, router connectivity, and Internet service."
A laptop cannot detect any Wi-Fi networks. What hardware items should you consider?,"Think radio, antenna, physical switch, and software.","Check the Wi-Fi adapter, antenna connections, wireless switch/function key, drivers, and device settings."
What can cause weak Wi-Fi reception after a laptop screen replacement?,The display assembly can contain or route wireless antennas.,"The Wi-Fi antenna cables may be disconnected, pinched, damaged, or routed incorrectly."
What is desktop virtualization?,Think running a user's desktop environment through virtual infrastructure.,Desktop virtualization hosts desktop environments virtually so users can access them from endpoint devices.
What is a virtual machine?,It behaves like a computer but runs using virtualized hardware.,A virtual machine is a software-defined computer running on a physical host.
What is a hypervisor?,Something has to create and manage the virtual machines.,A hypervisor manages virtual machines and allocates physical resources to them.
What is a Type 1 hypervisor?,Think enterprise virtualization running directly on the physical host.,A Type 1 hypervisor runs directly on the hardware rather than requiring a conventional host operating system.
What is a Type 2 hypervisor?,Think VMware Workstation or VirtualBox running inside Windows or another desktop OS.,A Type 2 hypervisor runs as an application on a host operating system.
What is a VM snapshot?,Think saving the state of a virtual machine at a point in time.,A snapshot captures a VM's state and/or disk state so it can later be reverted or used as a point-in-time reference.
Why should snapshots not automatically be considered backups?,A snapshot usually depends on the underlying VM storage and virtualization environment.,Snapshots are generally designed for short-term rollback and are not a substitute for independent backups.
What does IaaS provide?,"Think renting virtual machines, storage, and networking instead of buying physical infrastructure.","Infrastructure as a Service provides virtualized computing infrastructure such as servers, storage, and networks."
What does PaaS provide?,Think developers getting a managed environment without managing the underlying servers.,Platform as a Service provides a managed application-development/runtime platform.
What does SaaS provide?,Think using Gmail or Microsoft 365 through a browser instead of installing and maintaining the underlying infrastructure yourself.,Software as a Service provides a complete application delivered as a service.
What is a public cloud?,Think infrastructure operated by a cloud provider and shared among customers.,A public cloud provides cloud resources operated by a provider for multiple customers.
What is a private cloud?,Think cloud-like infrastructure dedicated to one organization.,A private cloud is cloud infrastructure dedicated to a single organization.
What is a hybrid cloud?,Think combining private/on-premises resources with public cloud resources.,A hybrid cloud combines private/on-premises infrastructure with public cloud services.
What is elasticity in cloud computing?,Imagine a business automatically adding resources during a traffic spike and reducing them later.,Elasticity is the ability to dynamically increase or decrease resources based on demand.
What is scalability?,Think growing a system to handle more users or workload.,Scalability is the ability of a system to increase capacity as demand grows.
What is measured service in cloud computing?,Think paying based on resource consumption rather than buying everything upfront.,Measured service means cloud usage is monitored and commonly billed according to consumption.
What is a common advantage of cloud computing for a small business?,Think avoiding a large upfront investment in servers.,"Cloud services can reduce capital expenditure and provide flexible, scalable access to computing resources."
What is a hypervisor resource allocation problem?,A VM can be healthy but still perform terribly if the host is overloaded.,"The host may be overcommitted on CPU, RAM, storage I/O, or other resources."
What is the first step of a good troubleshooting methodology?,Don't start randomly replacing parts; first understand the problem.,"Identify the problem by gathering information, questioning the user, and reproducing the symptoms when possible."
Why should you establish a theory before changing hardware?,Random changes make it harder to know what actually fixed the problem.,A theory narrows the likely cause and makes troubleshooting systematic and efficient.
Why should you test your theory after making a change?,A machine appearing fixed isn't enough.,Verify that the suspected cause was actually resolved and the original symptoms are gone.
Why should you document the solution?,Future technicians shouldn't have to rediscover the same fix.,"Documentation creates a knowledge base, records changes, and helps future troubleshooting."
A computer shuts off randomly under heavy gaming load. What hardware issue should you consider?,Think about what produces heat and what supplies power.,"Check CPU/GPU temperatures, cooling, airflow, PSU capacity/health, and thermal throttling or overheating."
A PC reboots when a new graphics card is installed. What should you investigate?,A powerful GPU can change both power requirements and thermal load.,"Check PSU capacity and connectors, GPU seating, drivers, temperatures, and motherboard compatibility."
A PC turns on but immediately turns off. What should you check physically?,Start with the basics before assuming the motherboard is dead.,"Check power connections, PSU, CPU power connector, RAM seating, motherboard shorts, cooling, and POST behavior."
A computer has random application crashes after a RAM upgrade. What should you test?,"New memory can be incompatible, defective, or incorrectly configured.","Verify RAM compatibility, seating, configuration, BIOS settings, and test memory with appropriate diagnostics."
What does ECC memory provide?,Think detecting and correcting certain memory errors.,ECC memory can detect and correct certain types of memory errors and is commonly used in systems where reliability is important.
What is a DIMM?,Think desktop/server memory module.,DIMM is a type of memory module used in many desktop and server systems.
What is a SO-DIMM?,Think smaller memory modules used in laptops.,SO-DIMM is a smaller memory-module form factor commonly used in laptops and compact systems.
What is ESD?,Static electricity can damage sensitive electronics even if you don't feel a shock.,Electrostatic discharge is the sudden transfer of static electrical charge that can damage electronic components.
Why use an ESD wrist strap when servicing hardware?,The goal isn't to protect the technician; it's to keep static from damaging components.,"It helps keep the technician and equipment at a similar electrical potential, reducing static-discharge risk."
What is the difference between a surge protector and a UPS?,One protects against power disturbances; the other can keep equipment running temporarily.,A surge protector helps protect against voltage surges; a UPS provides battery-backed power and often power conditioning.
What is a UPS useful for in a server environment?,Imagine the power flickers during a critical transaction.,A UPS can keep equipment running temporarily during outages and provide time for graceful shutdown or generator transition.
What does a multimeter continuity test help find?,Think broken wires and electrical paths.,It can help determine whether an electrical path is continuous.
What safety precaution matters when measuring voltage inside equipment?,"A multimeter is a diagnostic tool, but probes can cause shorts or expose you to dangerous voltages.","Use the correct meter/range and probes, follow electrical safety procedures, and avoid unsafe measurements."
What is cable management's practical benefit?,It isn't just about making a computer room look nice.,"Good cable management improves airflow, reduces accidental disconnections, simplifies troubleshooting, and makes maintenance easier."
What is a patch panel?,Think organized termination point between permanent building cabling and patch cables.,A patch panel provides an organized termination point for network cabling.
What is a patch cable?,Think the short cable you use between a wall jack/patch panel and a switch or endpoint.,A patch cable is a flexible cable used for short connections between network equipment or outlets.
What is structured cabling?,Think standardized building cabling rather than improvised cables everywhere.,"Structured cabling is an organized cabling system using standardized components, pathways, termination points, and documentation."
What does PoE provide?,Think powering an access point or IP camera through its Ethernet cable.,Power over Ethernet supplies electrical power over Ethernet cabling along with network connectivity.
What is an IP camera?,Think a camera that communicates over the network instead of requiring only a dedicated analog video cable.,An IP camera sends video over an IP network and may receive power through PoE.
What is a VoIP phone?,Think telephone service delivered through an IP network.,A VoIP phone converts voice into network traffic for communication over IP networks.
A VoIP call has good audio but one-way communication. What should you investigate?,The call setup may work while media traffic has a problem in one direction.,"Check RTP/media paths, firewall/NAT rules, SIP configuration, routing, and whether required UDP ports are blocked."
A VoIP call has severe delay and robotic audio. What network characteristics should you investigate?,Voice quality is especially sensitive to time-related network problems.,"Investigate latency, jitter, packet loss, congestion, QoS, and bandwidth."
What is jitter in VoIP?,Packets arriving at uneven intervals can make voice sound broken.,Jitter is variation in packet arrival timing.
What is packet loss?,Some network packets never reach their destination.,Packet loss occurs when packets are dropped or otherwise fail to reach the destination.
What is QoS?,Think prioritizing voice traffic when the network is busy.,Quality of Service mechanisms prioritize or manage traffic so latency-sensitive applications such as VoIP receive appropriate treatment.
What is a MAC address table on a switch?,The switch needs to know which port leads to which device.,A MAC address table maps learned MAC addresses to switch ports.
What happens when a switch doesn't know the destination MAC address?,The switch knows the destination is on the LAN but doesn't know which port yet.,"It typically floods the frame out relevant ports in the VLAN, except the port on which it arrived."
What is ARP used for in IPv4?,A computer knows an IP address but needs a local Layer 2 destination.,ARP resolves an IPv4 address to a MAC address on the local network.
What is an ARP cache?,You don't want to perform a new lookup for every local packet.,The ARP cache stores recently learned IPv4-to-MAC mappings.
What is the purpose of a DNS cache?,Repeatedly asking DNS servers for the same answer is inefficient.,A DNS cache temporarily stores DNS responses to reduce lookup time and network traffic.
A website works on one computer but not another using the same network. What should you compare first?,"If the network is shared, compare the affected machine's configuration.","Compare IP configuration, DNS settings, proxy settings, browser behavior, firewall/security software, and local connectivity."
What does a proxy server do?,Think an intermediary between a client and Internet resources.,"A proxy acts on behalf of clients when accessing network resources and can provide filtering, caching, authentication, or other controls."
What is a captive portal?,Think hotel or airport Wi-Fi that makes you accept terms before Internet access works.,A captive portal intercepts or redirects users to an authentication/terms page before granting normal Internet access.
What is a rogue access point?,Think unauthorized Wi-Fi equipment connected to a business network.,A rogue access point is an unauthorized wireless access point that can create security and networking risks.
What is Bluetooth interference?,Bluetooth shares the crowded 2.4 GHz band with other technologies.,"Nearby Wi-Fi, microwave ovens, and other 2.4 GHz devices can contribute to interference."
What should you check if a Bluetooth keyboard repeatedly disconnects?,"Think power, range, interference, pairing, and drivers.","Check battery level, distance, interference, pairing state, Bluetooth drivers, and the receiving adapter."
What should you do if a USB device repeatedly disconnects?,Start with the physical connection and power requirements.,"Try another port/cable, inspect the connector, check USB power requirements, drivers, device manager, and power-management settings."
What is USB backward compatibility?,"Newer USB standards can often communicate with older devices, but speed and features may change.","USB standards generally support interoperability across generations, with the connection operating according to the capabilities of the devices and cables involved."
What is a powered USB hub useful for?,Some USB devices draw more power than a basic hub or port can comfortably provide.,A powered hub has its own power source and can better support multiple or higher-power USB devices.
What is biometric authentication?,Think fingerprint or face recognition.,Biometric authentication uses a physical characteristic to help verify identity.
What is a touchscreen digitizer?,The display shows the picture; another layer detects touch.,The digitizer detects touch input and converts it into input data.
A smartphone display works but touch input does not. What hardware component should you suspect?,Separate the visual display function from the touch-detection function.,The digitizer/touch layer or its connection may be faulty.
What is a gyroscope in a mobile device?,Think detecting rotational movement.,A gyroscope measures angular rotation and helps determine device orientation/movement.
What is an accelerometer?,Think detecting changes in linear motion and orientation relative to gravity.,An accelerometer measures acceleration and is used for functions such as screen rotation and motion detection.
What is GPS/GNSS used for?,Think determining geographic position.,"GNSS technologies, including GPS, allow a device to determine its location using satellite signals."
What is a mobile device's proximity sensor used for?,Think what your phone needs to know when you hold it near your face during a call.,"It detects nearby objects, commonly allowing the display to turn off when the phone is held near the user's face."
